,budget,revenue
994,4000000,0
995,4000000,0
996,4000000,0
997,4000000,0
998,4000000,0
999,4000000,0
1000,4000000,0
1001,4000000,0
1002,4000000,0
1003,4000000,0
1004,4000000,0
1005,4000000,0
1006,4000000,0
1007,4000000,0
1008,4000000,0
1009,4000000,0
1010,4000000,0
1011,4000000,0
1012,4000000,0
1013,4000000,0
1014,4000000,0
1015,4000000,0
1016,4000000,0
1017,4000000,0
1018,4000000,0
1019,4100000,0
1020,4180000,0
1021,4200000,0
1022,4200000,0
1023,4200000,0
1024,4250000,0
1025,4275000,0
1026,4300000,0
1027,4300000,0
1028,4300000,0
1029,4300000,0
1030,4317946,0
1031,4361898,0
1032,4400000,0
1033,4400000,0
1034,4439832,0
1035,4466000,0
1036,4500000,0
1037,4500000,0
1038,4500000,0
1039,4500000,0
1040,4500000,0
1041,4500000,0
1042,4500000,0
1043,4500000,0
1044,4500000,0
1045,4500000,0
1046,4500000,0
1047,4500000,0
1048,4500000,0
1049,4500000,0
1050,4500000,0
1051,4500000,0
1052,4500000,0
1053,4500000,0
1054,4500000,0
1055,4500000,0
1056,4500000,0
1057,4600000,0
1058,4600000,0
1059,4600000,0
1060,4600000,0
1061,4638783,0
1062,4653000,0
1063,4700000,0
1064,4700000,0
1065,4750000,0
1066,4798235,0
1067,4800000,0
1068,4800000,0
1069,4800000,0
1070,4800000,0
1071,4800000,0
1072,4900000,0
1073,4900000,0
1074,5000000,0
1075,5000000,0
1076,5000000,0
1077,5000000,0
1078,5000000,0
1079,5000000,0
1080,5000000,0
1081,5000000,0
1082,5000000,0
1083,5000000,0
1084,5000000,0
1085,5000000,0
1086,5000000,0
1087,5000000,0
1088,5000000,0
1089,5000000,0
1090,5000000,0
1091,5000000,0
1092,5000000,0
1093,5000000,0
1094,5000000,0
1095,5000000,0
1096,5000000,0
1097,5000000,0
1098,5000000,0
1099,5000000,0
1100,5000000,0
1101,5000000,0
1102,5000000,0
1103,5000000,0
1104,5000000,0
1105,5000000,0
1106,5000000,0
1107,5000000,0
1108,5000000,0
1109,5000000,0
1110,5000000,0
1111,5000000,0
1112,5000000,0
1113,5000000,0
1114,5000000,0
1115,5000000,0
1116,5000000,0
1117,5000000,0
1118,5000000,0
1119,5000000,0
1120,5000000,0
1121,5000000,0
1122,5000000,0
1123,5000000,0
1124,5000000,0
1125,5000000,0
1126,5000000,0
1127,5000000,0
1128,5000000,0
1129,5000000,0
1130,5000000,0
1131,5000000,0
1132,5000000,0
1133,5000000,0
1134,5000000,0
1135,5000000,0
1136,5000000,0
1137,5000000,0
1138,5000000,0
1139,5000000,0
1140,5000000,0
1141,5000000,0
1142,5000000,0
1143,5000000,0
1144,5000000,0
1145,5000000,0
1146,5000000,0
1147,5000000,0
1148,5000000,0
1149,5000000,0
1150,5000000,0
1151,5000000,0
1152,5000000,0
1153,5000000,0
1154,5000000,0
1155,5000000,0
1156,5000000,0
1157,5000000,0
1158,5000000,0
1159,5000000,0
1160,5000000,0
1161,5000000,0
1162,5000000,0
1163,5000000,0
1164,5000000,0
1165,5000000,0
1166,5000000,0
1167,5000000,0
1168,5000000,0
1169,5000000,0
1170,5000000,0
1171,5000000,0
1172,5000000,0
1173,5000000,0
1174,5000000,0
1175,5000000,0
1176,5000000,0
1177,5000000,0
1178,5000000,0
1179,5000000,0
1180,5000000,0
1181,5000000,0
1182,5000000,0
1183,5000000,0
1184,5000000,0
1185,5000000,0
1186,5000000,0
1187,5000000,0
1188,5000000,0
1189,5000000,0
1190,5000000,0
1191,5000000,0
1192,5000000,0
1193,5000000,0
1194,5000000,0
1195,5000000,0
1196,5000000,0
1197,5000000,0
1198,5000000,0
1199,5000000,0
1200,5000000,0
1201,5000000,0
1202,5000000,0
1203,5000000,0
1204,5000000,0
1205,5000000,0
1206,5000000,0
1207,5000000,0
1208,5000000,0
1209,5000000,0
1210,5000000,0
1211,5000000,0
1212,5000000,0
1213,5000000,0
1214,5000000,0
1215,5037000,0
1216,5060730,0
1217,5100000,0
1218,5100000,0
1219,5112027,0
1220,5115000,0
1221,5200000,0
1222,5200000,0
1223,5300000,0
1224,5300000,0
1225,5400000,0
1226,5500000,0
1227,5500000,0
1228,5500000,0
